1993.708	354.47	15.727171	4.577	6.397	8.0802
1993.792	355.7	14.929717	7.058	8.786	8.094
1993.875	356.95	14.016172	9.545	11.319	
1993.958	357.85	12.827943	11.476	13.319	
1994.042	358.47	12.312657	12.875	14.73	8.1508
1994.125	359.01	12.046357	13.523	15.562	8.1357
1994.208	359.36	12.093226	13.55	15.554	8.1204
1994.292	359.71	12.990671	12.913	14.888	
1994.375	359.74	14.081126	11.658	13.624	
1994.458	358.81	14.913198	9.684	12.016	8.1021
1994.542	357.27	15.728884	6.923	9.925	8.0858
1994.625	356.05	15.954377	5.188	7.639	8.0883
1994.708	356.02	15.727282	5.13	7.138	8.0875
1994.792	357.26	15.207644	7.232	8.915	8.088
1994.875	358.69	14.154414	9.715	11.123	8.1048
1994.958	359.55	13.121017	11.493	13.272	
1995.042	360.13	12.393505	12.785	14.586	
1995.125	360.61	12.312858	13.369	15.226	8.1099
1995.208	361.08	12.794863	13.339	15.26	8.1171
1995.292	361.55	13.173332	12.405	14.449	8.1038
1995.375	361.47	14.242319	10.902	12.972	8.1149
1995.458	360.61	15.026494	8.944	11.44	
1995.542	358.99	15.896791	6.156	8.987	8.0937
1995.625	357.73	16.125097	4.693	6.744	8.0933
1995.708	358.05	16.0047	4.428	6.08	8.0886
1995.792	359.42	15.245733	5.991	7.829	8.0997
1995.875	360.77	14.251504	9.032	10.761	8.1135
1995.958	361.65	13.146228	11.088	12.921	
1996.042	362.14	12.325032	12.152	14.181	8.1074
1996.125	362.5	12.08245	12.979	15.155	
1996.208	362.82	12.507443	12.904	15.123	8.1122
1996.292	363.14	13.09871	12.322	14.216	8.1066
1996.375	363.29	14.017178	11.284	13.094	8.0946
1996.458	362.88	14.894451	9.834	12.084	8.0902
1996.542	361.57	15.667089	7.438	10.164	8.0889
1996.625	360.07	16.022583	5.733	8.18	8.0829
1996.708	359.7	16.000057	5.623	7.583	
1996.792	360.67	15.118811	7.544	9.161	8.0836
1996.875	361.78	14.006094	8.765	10.402	8.0924
1996.958	362.63	13.150954	11.031	12.861	8.1014
1997.042	363.28	12.41957	12.395	14.417	8.1102
1997.125	363.65	12.07266	13.438	15.437	8.0856
1997.208	364.03	12.415118	13.303	15.467	8.1138
1997.292	364.51	13.238875	12.574	14.563	8.1155
1997.375	364.51	14.033698	11.236	13.177	8.101
1997.458	363.6	15.009245	9.197	11.738	8.1058
1997.542	361.93	15.902833	6.501	9.411	8.0895
1997.625	360.41	16.056944	5.089	7.285	8.089
1997.708	360.41	15.977586	4.892	6.686	8.0805
1997.792	361.94	15.381688	6.467	8.337	
1997.875	363.61	14.393545	9.071	10.684	
1997.958	364.68	13.352154	11.242	13.076	8.1083
1998.042	365.19	12.617628	12.806	14.721	8.1097
1998.125	365.46	12.393999	13.768	15.746	8.1135
1998.208	365.93	12.883712	13.574	15.598	8.1044
1998.292	366.58	13.373737	12.852	14.892	8.1078
1998.375	366.86	14.482489	11.398	13.59	8.105
1998.458	366.27	15.439859	9.184	11.706	8.0937
1998.542	364.84	16.166082	6.449	9.415	8.0805
1998.625	363.79	16.350761	4.691	7.509	8.0818
1998.708	364.04	16.253042	4.297	6.536	8.076
1998.792	365.34	15.393574	6.706	8.452	8.0818
1998.875	366.6	14.268745	8.884	10.441	8.0825
1998.958	367.47	13.131387	10.91	12.759	8.0948
1999.042	368.12	12.578128	12.602	14.359	8.0895
1999.125	368.52	12.214997	13.451	15.309	8.0997
1999.208	368.91	12.681549	13.54	15.398	8.135
1999.292	369.3	13.018332	13.15	15.084	8.123
1999.375	369.21	14.058149	11.665	13.751	8.1
1999.458	368.36	14.964326	9.252	11.779	
1999.542	366.69	15.75067	6.554	9.488	8.0938
1999.625	365.32	16.027044	4.753	7.226	8.0759
1999.708	365.44	15.874023	4.292	6.117	
1999.792	366.75	15.245672	6.835	8.603	8.0711
1999.875	368.05	14.145028	9.256	10.796	8.0824
1999.958	368.88	13.067392	10.994	12.641	8.0818
2000.042	369.39	12.441928	12.304	14.22	
2000.125	369.65	12.052399	13.088	15.141	8.0966
2000.208	369.97	12.593054	13.167	15.225	8.0946
2000.292	370.35	13.190579	12.597	14.558	8.0941
2000.375	370.24	14.27894	11.244	13.153	8.0677
2000.458	369.31	15.041011	9.052	11.665	8.0831
2000.542	367.91	15.73894	6.385	9.513	8.0872
2000.625	366.76	15.99124	4.783	7.168	8.0827
2000.708	366.71	15.936546	4.347	6.246	
2000.792	367.91	15.207633	6.692	8.379	8.0678
2000.875	369.28	14.050722	8.866	10.321	8.095
2000.958	370.1	13.023944	10.96	12.637	8.0922
2001.042	370.69	12.323272	12.354	14.203	8.0929
2001.125	371.18	12.2122	13.22	15.211	8.0881
2001.208	371.59	12.446788	13.641	15.516	8.0894
2001.292	371.9	13.249987	13.053	14.857	8.0938
2001.375	371.8	14.208252	11.383	13.51	8.0948
2001.458	370.85	15.215851	9.086	11.456	8.0984
2001.542	369.46	15.871904	6.285	9.07	8.0857
2001.625	368.32	16.20851	4.936	7.461	8.0757
2001.708	368.36	16.060638	4.586	6.732	8.068
2001.792	369.71	15.368203	6.649	8.298	8.0885
2001.875	371.05	14.34036	9.077	10.658	8.0814
2001.958	371.97	13.470086	10.553	12.491	8.0925
2002.042	372.51	12.695609	12.261	14.273	8.0959
2002.125	372.91	12.53721	13.421	15.342	8.108
2002.208	373.38	12.721423	13.42	15.349	8.1085
2002.292	373.72	13.600142	12.413	14.299	
2002.375	373.71	14.29804	11.158	12.971	8.0811
2002.458	372.84	15.341601	9.188	11.583	8.071
2002.542	371.41	16.006063	6.439	9.274	
2002.625	370.37	16.26295	4.318	6.599	8.0706
2002.708	370.69	16.064987	4.029	5.827	
2002.792	371.96	15.451588	6.238	8.162	8.0862
2002.875	373.29	14.365481	8.752	10.342	8.0876
2002.958	374.26	13.315763	10.643	12.608	8.0937
2003.042	374.94	12.543315	12.289	14.391	8.1025
2003.125	375.47	12.548483	13.227	15.193	8.104
2003.208	375.92	12.642036	13.425	15.485	8.1016
2003.292	376.4	13.243136	12.46	14.512	8.0963
2003.375	376.55	14.241573	10.888	13.016	8.0905
2003.458	375.72	15.247941	9.114	11.604	8.0824
2003.542	374.17	15.844065	6.152	9.215	8.0777
